name,glyphtype,soterms,arrowbody_height,height,width,arrowhead_width
Terminator,Terminator,SO:0000141,,10,8,
RNAStabilityElement,RNA Stability Element,SO:0001979,,16,6,
RecombinationSite,Recombination Site,,,15,10,
Insulator,Insulator,SO:0000627,,,15,
CircularPlasmid5,Circular Plasmid 5' end,SO:0002211,,10,20,
NonCodingRNA,Spacer,,,12,20,
SingleStrandedNucleicAcid,Single-Stranded Nucleic Acid,SBO:0000250,,5,18.0,
OriginOfReplication,OriginOfReplication,SO:0000296,,,20,
DNAStabilityElement,DNA Stability Element,,,16,6,
ProteinStabilityElement,Protein Stability Element,"SO:0001955,SO:0001546",,16,6,
CDS,CDS,SO:0000316,7.5,15,30,5
ProteinCleavageSite,Protein Cleavage Site,SO:0001956,,16,6,
DNACleavageSite,DNA Cleavage Site,"SO:0001688,SO:0001687",,16,6,
BluntRestrictionSite,Blunt Restriction Site,SO:0001691,,15,8,
PolypeptideRegion,CDS,SO:0000316,15,15,30,8
AssemblyScar,Assembly Scar,SO:0001953,,5,15,
ChromosomalLocus3,Chromosome Part 3' End,SO:0000830,,10,20,
RNACleavageSite,RNA Cleavage Site,"SO:0001688,SO:0001687,SO:0001977",,16,6,
ChromosomalLocus5,Chromosome Part 3' End,SO:0000830,,10,20,
OmittedDetail,Omitted Detail,,,,15,
NucleicAcidOneStrand,Spacer,,,12,20,
Spacer,InertDNASpacer,SO:0002223,,10,10,
Aptamer,Spacer,,,,18,
Macromolecule,Macromolecule,SBO:0000245,,8,18,
NoGlyph,No Glyph,,,15,8,
StickyEndRestrictionEnzymeCleavageSite5,5' Sticky Restriction Site,SO:0001975,,8,15,
Protein,Polypeptide Chain,SBO:0000252,,8,18,
DoubleStrandedNucleicAcid,Double-Stranded Nucleic Acid,SBO:0000251,,5,22.5,
CircularPlasmid3,Circular Plasmid 3' end,SO:0002211,,10,20,
PolyASite,PolyA Site,SO:0000553,,,20,
SimpleChemical,Simple Chemical (Circle),SBO:0000247,,,5.0,
Unspecified,Unspecified,SO:0000110,,,15,
RNALocationAlternate,RNA Location,"SO:0001236,SO:0000699",,16,6,
DNALocation,DNA Location,"SO:0001236,SO:0000699",,16,6,
Promoter,Promoter,SO:0000167,10,25,30,10
Composite,Spacer,,,12,40,
StickyEndRestrictionEnzymeCleavageSite3,3' Sticky Restriction Site,SO:0001976,,8,15,
Primer,PrimerBindingSite,SO:0005850,,10,30,10
RNALocation,RNA Location,"SO:0001236,SO:0000699",,16,6,
SpecificRecombinationSite,Specific Recombination Site,SO:0000299,,26,26,
OverhangSite5,5' Overhang Site,SO:0001932,,5,15,
Operator,Operator,"SO:0000057,SO:0000409",,7,7,
OriginOfTransfer,OriginOfTransfer,SO:0000724,,,20,
Signature,Signature,SO:0001978,,10,20,
ProteinLocation,Protein Location,"SO:0001237,SO:0000699",,16,6,
EngineeredRegion,Engineered Region,SO:0000804,,15,30,
RibosomeEntrySite,RibosomeEntrySite,SO:0000139,,,15,
OverhangSite3,3' Overhang Site,SO:0001933,,5,15,
ProteinLocationAlternate,Protein Location,"SO:0001237,SO:0000699",,16,6,
DNAStopSite,DNA Stop Site,SO:0000616,,16,6,
RNAStopSite,RNA Stop Site,"SO:0000319,SO:0000327",,16,6,
